as_of,bar_date,Symbol,SentimentScore,Fundamental_Weight,Sector_RS_63,RS_Score,Technical_Score,Strategy_Score,Sector_Score_7d_legacy
2026-09-25 00:59,2026-09-24,AAPL,1.5,5.35,0.8767,22.7778,64.7059,43.7418,10.9721
2026-09-25 00:59,2026-09-24,ACHR,0.0,1.3,-12.797,-11.5278,7.3529,-2.0874,0.4805
2026-09-25 00:59,2026-09-24,ADBE,0.0,6.81,0.8767,-11.3889,-42.6471,-27.018,10.9721
2026-09-25 00:59,2026-09-24,AFRM,-1.9,4.35,-2.3528,-15.2778,-23.5294,-19.4036,-6.1961
2026-09-25 00:59,2026-09-24,ALAB,5.26,,0.8767,41.5278,42.6471,42.0874,10.9721
2026-09-25 00:59,2026-09-24,AMD,6.29,4.76,0.8767,58.6111,70.5882,64.5997,10.9721
2026-09-25 00:59,2026-09-24,AMZN,0.95,7.17,-7.1953,-14.1667,-17.6471,-15.9069,-2.2402
2026-09-25 00:59,2026-09-24,ANET,7.1,5.68,0.8767,30.6944,63.2353,46.9649,10.9721
2026-09-25 00:59,2026-09-24,APA,0.0,,11.6845,25.0,23.5294,24.2647,-7.0203
2026-09-25 00:59,2026-09-24,APLD,2.22,,0.8767,-38.4722,-25.0,-31.7361,10.9721
2026-09-25 00:59,2026-09-24,APP,-4.35,7.46,3.5873,-34.0278,-38.2353,-36.1315,5.3849
2026-09-25 00:59,2026-09-24,ARM,4.41,5.61,0.8767,31.1111,30.8824,30.9967,10.9721
2026-09-25 00:59,2026-09-24,ASTS,0.0,-2.05,3.5873,-33.1944,-29.4118,-31.3031,5.3849
2026-09-25 00:59,2026-09-24,AVAV,3.81,2.5,-12.797,-14.8611,-10.2941,-12.5776,0.4805
2026-09-25 00:59,2026-09-24,AVGO,1.44,5.7,0.8767,-20.9722,-51.4706,-36.2214,10.9721
2026-09-25 00:59,2026-09-24,BA,0.0,,-12.797,-31.1111,-70.5882,-50.8497,0.4805
2026-09-25 00:59,2026-09-24,BE,0.0,,-12.797,2.6389,26.4706,14.5547,0.4805
2026-09-25 00:59,2026-09-24,BIIB,3.57,0.55,4.8279,17.7778,75.0,46.3889,3.0326
2026-09-25 00:59,2026-09-24,BKR,5.5,0.46,11.6845,-22.9167,-52.9412,-37.9289,-7.0203
2026-09-25 00:59,2026-09-24,C,0.0,,-2.3528,-13.1944,-26.4706,-19.8325,-6.1961
2026-09-25 00:59,2026-09-24,CDNS,1.33,5.68,0.8767,-25.9722,4.4118,-10.7802,10.9721
2026-09-25 00:59,2026-09-24,CIFR,2.56,-3.9,0.8767,-8.8889,-1.4706,-5.1797,10.9721
2026-09-25 00:59,2026-09-24,CLS,0.0,,0.8767,17.7778,42.6471,30.2124,10.9721
2026-09-25 00:59,2026-09-24,COF,0.0,3.48,-2.3528,-30.2778,-42.6471,-36.4624,-6.1961
2026-09-25 00:59,2026-09-24,COIN,-2.08,-4.14,-2.3528,9.7222,52.9412,31.3317,-6.1961
2026-09-25 00:59,2026-09-24,CRCL,-2.69,0.01,0.8767,-0.1389,57.3529,28.607,10.9721
2026-09-25 00:59,2026-09-24,CRDO,0.0,,0.8767,-9.3056,-11.7647,-10.5351,10.9721
2026-09-25 00:59,2026-09-24,CRM,2.77,7.26,0.8767,38.6111,47.0588,42.835,10.9721
2026-09-25 00:59,2026-09-24,CRWV,0.17,-1.39,0.8767,-19.3056,22.0588,1.3766,10.9721
2026-09-25 00:59,2026-09-24,CVLT,1.82,0.65,0.8767,40.2778,61.7647,51.0212,10.9721
2026-09-25 00:59,2026-09-24,CVNA,4.44,4.36,-7.1953,-41.6667,-42.6471,-42.1569,-2.2402
2026-09-25 00:59,2026-09-24,DASH,0.0,2.21,3.5873,-14.0278,-42.6471,-28.3374,5.3849
2026-09-25 00:59,2026-09-24,DVN,0.0,,11.6845,12.0833,61.7647,36.924,-7.0203
2026-09-25 00:59,2026-09-24,ENPH,-7.62,1.38,0.8767,-39.7222,-61.7647,-50.7435,10.9721
2026-09-25 00:59,2026-09-24,FANG,0.0,1.4,11.6845,-13.75,-20.5882,-17.1691,-7.0203
2026-09-25 00:59,2026-09-24,FCX,0.0,1.54,-8.4583,-20.6944,32.3529,5.8292,-4.7544
2026-09-25 00:59,2026-09-24,FIG,-1.25,2.22,0.8767,-10.9722,-42.6471,-26.8096,10.9721
2026-09-25 00:59,2026-09-24,FTNT,7.62,3.3,0.8767,50.2778,64.7059,57.4918,10.9721
2026-09-25 00:59,2026-09-24,GOOGL,-0.71,7.75,3.5873,-4.4444,-17.6471,-11.0458,5.3849
2026-09-25 00:59,2026-09-24,GTLB,3.75,1.69,0.8767,63.6111,60.2941,61.9526,10.9721
2026-09-25 00:59,2026-09-24,HAL,3.81,4.7,11.6845,-26.25,-58.8235,-42.5368,-7.0203
2026-09-25 00:59,2026-09-24,HIMS,-6.5,1.45,4.8279,-8.8889,4.4118,-2.2386,3.0326
2026-09-25 00:59,2026-09-24,HOOD,-2.14,0.88,-2.3528,20.5556,69.1176,44.8366,-6.1961
2026-09-25 00:59,2026-09-24,INTU,-1.56,6.08,0.8767,-22.2222,-42.6471,-32.4346,10.9721
2026-09-25 00:59,2026-09-24,IONQ,3.6,0.35,0.8767,2.7778,27.9412,15.3595,10.9721
2026-09-25 00:59,2026-09-24,IREN,1.67,-3.7,11.6845,7.5,45.5882,26.5441,-7.0203
2026-09-25 00:59,2026-09-24,JOBY,-2.93,4.4,-12.797,-69.8611,-51.4706,-60.6658,0.4805
2026-09-25 00:59,2026-09-24,LITE,0.0,,0.8767,-0.1389,51.4706,25.6658,10.9721
2026-09-25 00:59,2026-09-24,LMT,3.4,-0.56,-12.797,-30.2778,-48.5294,-39.4036,0.4805
2026-09-25 00:59,2026-09-24,LRCX,2.78,6.1,0.8767,-22.2222,17.6471,-2.2876,10.9721
2026-09-25 00:59,2026-09-24,LYB,0.0,,-8.4583,-30.6944,-36.7647,-33.7296,-4.7544
2026-09-25 00:59,2026-09-24,MARA,-0.62,,0.8767,18.6111,52.9412,35.7761,10.9721
